"";"trait";"PC1_corr";"PC2_corr";"PC3_corr";"PC4_corr";"PC1_value";"PC2_value";"PC3_value";"PC4_value";"PC1_p.value";"PC2_p.value";"PC3_p.value";"PC4_p.value"
"1";"EhBd";-0,164;0,064;0,144;-0,139;0,027;0,004;0,021;0,019;0,015;0,341;0,032;0,038
"2";"BlBd";-0,276;-0,064;-0,394;0,116;0,076;0,004;0,155;0,013;0;0,34;0;0,085
"3";"PFiBd";-0,172;0,189;0,26;-0,369;0,03;0,036;0,067;0,136;0,01;0,005;0;0
"4";"MoBd";-0,16;0,18;0,245;-0,28;0,025;0,032;0,06;0,078;0,017;0,007;0;0
"5";"Length";-0,178;0,183;-0,144;0,152;0,032;0,034;0,021;0,023;0,008;0,006;0,032;0,024
"6";"detritus";0,746;0,212;0,333;-0,078;0,556;0,045;0,111;0,006;0;0,002;0;0,244
"7";"nekton";-0,39;0,801;0,111;0,366;0,152;0,642;0,012;0,134;0;0;0,1;0
"8";"plants";0,788;-0,12;0,08;0,498;0,62;0,014;0,006;0,248;0;0,074;0,234;0
"9";"zoobenthos";0,017;0,352;-0,038;0,193;0;0,124;0,001;0,037;0,8;0;0,574;0,004
"10";"zooplankton";0,538;0,579;-0,394;-0,4;0,289;0,336;0,155;0,16;0;0;0;0
"11";"RepGuild1";-0,043;0,218;0,811;-0,306;0,014;0,147;0,636;0,086;0,077;0;0;0
"12";"Amplitudetemp";0,012;0,087;-0,69;0,122;0;0,008;0,477;0,015;0,854;0,196;0;0,071
